Player,Venue,Predicted Performance
SM Curran,"Wankhede Stadium, Mumbai",Excellent
SN Khan,"Wankhede Stadium, Mumbai",Bad
SN Thakur,"Wankhede Stadium, Mumbai",Bad
SO Hetmyer,"Wankhede Stadium, Mumbai",Average
SP Jackson,"Wankhede Stadium, Mumbai",Bad
SP Narine,"Wankhede Stadium, Mumbai",Bad
SS Iyer,"Wankhede Stadium, Mumbai",Average
SS Prabhudessai,"Wankhede Stadium, Mumbai",Bad
SV Samson,"Wankhede Stadium, Mumbai",Average
SW Billings,"Wankhede Stadium, Mumbai",Average
Sanvir Singh,"Wankhede Stadium, Mumbai",Bad
Saurav Chauhan,"Wankhede Stadium, Mumbai",Bad
Shahbaz Ahmed,"Wankhede Stadium, Mumbai",Average
Shashank Singh,"Wankhede Stadium, Mumbai",Poor
Shubman Gill,"Wankhede Stadium, Mumbai",Bad
Simarjeet Singh,"Wankhede Stadium, Mumbai",Bad
T Stubbs,"Wankhede Stadium, Mumbai",Poor
TA Boult,"Wankhede Stadium, Mumbai",Bad
TG Southee,"Wankhede Stadium, Mumbai",Bad
TH David,"Wankhede Stadium, Mumbai",Average
TM Head,"Wankhede Stadium, Mumbai",Excellent
Tilak Varma,"Wankhede Stadium, Mumbai",Average
UT Yadav,"Wankhede Stadium, Mumbai",Bad
Umran Malik,"Wankhede Stadium, Mumbai",Bad
V Kohli,"Wankhede Stadium, Mumbai",Poor
V Shankar,"Wankhede Stadium, Mumbai",Poor
VR Iyer,"Wankhede Stadium, Mumbai",Good
Vijaykumar Vyshak,"Wankhede Stadium, Mumbai",Bad
Vishnu Vinod,"Wankhede Stadium, Mumbai",Good
Vivrant Sharma,"Wankhede Stadium, Mumbai",Excellent
WG Jacks,"Wankhede Stadium, Mumbai",Bad
WP Saha,"Wankhede Stadium, Mumbai",Excellent
Washington Sundar,"Wankhede Stadium, Mumbai",Poor
YBK Jaiswal,"Wankhede Stadium, Mumbai",Excellent
