batter,venue,total_runs,matches_played,batting_average,Performance
Naveen-ul-Haq,"Eden Gardens, Kolkata",2,1,2.0,Bad
Naveen-ul-Haq,"MA Chidambaram Stadium, Chennai",1,1,1.0,Bad
Nithish Kumar Reddy,"Arun Jaitley Stadium, Delhi",37,1,37.0,Good
Nithish Kumar Reddy,"MA Chidambaram Stadium, Chennai",33,3,11.0,Poor
Nithish Kumar Reddy,Maharaja Yadavindra Singh International Cricket St (Mullanpur),64,1,64.0,Excellent
Nithish Kumar Reddy,"Narendra Modi Stadium, Ahmedabad",9,1,9.0,Bad
Nithish Kumar Reddy,"Rajiv Gandhi International Stadium, Hyderabad",140,4,35.0,Good
Nithish Kumar Reddy,"Wankhede Stadium, Mumbai",20,1,20.0,Average
Noor Ahmad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4,1,4.0,Bad
Noor Ahmad,"MA Chidambaram Stadium, Chennai",7,1,7.0,Bad
Noor Ahmad,"Narendra Modi Stadium, Ahmedabad",1,2,0.5,Bad
Noor Ahmad,"Wankhede Stadium, Mumbai",1,1,1.0,Bad
OC McCoy,"Narendra Modi Stadium, Ahmedabad",8,1,8.0,Bad
OF Smith,"Brabourne Stadium, Mumbai",3,2,1.5,Bad
OF Smith,"Dr DY Patil Sports Academy, Mumbai",38,2,19.0,Poor
OF Smith,"Maharashtra Cricket Association Stadium, Pune",1,1,1.0,Bad
OF Smith,"Wankhede Stadium, Mumbai",9,1,9.0,Bad
P Dubey,"Arun Jaitley Stadium, Delhi",16,1,16.0,Poor
P Simran Singh,"Arun Jaitley Stadium, Delhi",103,1,103.0,Excellent
P Simran Singh,"Barsapara Cricket Stadium, Guwahati",66,2,33.0,Good
P Simran Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",23,2,11.5,Poor
P Simran Singh,"Dr DY Patil Sports Academy, Mumbai",14,1,14.0,Poor
P Simran Singh,"Eden Gardens, Kolkata",66,2,33.0,Good
P Simran Singh,Himachal Pradesh Cricket Association Stadium (Dharamsala),60,4,15.0,Poor
P Simran Singh,"M.Chinnaswamy Stadium, Bengaluru",25,1,25.0,Average
P Simran Singh,"MA Chidambaram Stadium, Chennai",55,2,27.5,Average
P Simran Singh,Maharaja Yadavindra Singh International Cricket St (Mullanpur),65,4,16.25,Poor
P Simran Singh,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,10,1,10.0,Poor
P Simran Singh,"Narendra Modi Stadium, Ahmedabad",35,1,35.0,Good
P Simran Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",87,5,17.4,Poor
P Simran Singh,"Rajiv Gandhi International Stadium, Hyderabad",71,2,35.5,Good
P Simran Singh,"Wankhede Stadium, Mumbai",26,1,26.0,Average
PBB Rajapaksa,"Barsapara Cricket Stadium, Guwahati",1,1,1.0,Bad
PBB Rajapaksa,"Brabourne Stadium, Mumbai",10,2,5.0,Bad
PBB Rajapaksa,"Dr DY Patil Sports Academy, Mumbai",87,3,29.0,Average
PBB Rajapaksa,"Eden Gardens, Kolkata",0,1,0.0,Bad
PBB Rajapaksa,"Maharashtra Cricket Association Stadium, Pune",9,1,9.0,Bad
PBB Rajapaksa,"Punjab Cricket Association IS Bindra Stadium, Mohali",70,2,35.0,Good
PBB Rajapaksa,"Wankhede Stadium, Mumbai",100,3,33.333333333333336,Good
PD Salt,"Arun Jaitley Stadium, Delhi",175,5,35.0,Good
PD Salt,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",32,1,32.0,Good
PD Salt,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),18,1,18.0,Poor
PD Salt,"Eden Gardens, Kolkata",350,7,50.0,Excellent
PD Salt,Himachal Pradesh Cricket Association Stadium (Dharamsala),26,1,26.0,Average
PD Salt,"M.Chinnaswamy Stadium, Bengaluru",30,1,30.0,Good
PD Salt,"MA Chidambaram Stadium, Chennai",17,2,8.5,Bad
PD Salt,"Narendra Modi Stadium, Ahmedabad",0,1,0.0,Bad
PD Salt,"Rajiv Gandhi International Stadium, Hyderabad",0,1,0.0,Bad
PD Salt,"Wankhede Stadium, Mumbai",5,1,5.0,Bad
PJ Cummins,"Arun Jaitley Stadium, Delhi",1,1,1.0,Bad
PJ Cummins,"Brabourne Stadium, Mumbai",7,3,2.333333333333333,Bad
PJ Cummins,"Dr DY Patil Sports Academy, Mumbai",0,1,0.0,Bad
PJ Cummins,"Eden Gardens, Kolkata",0,1,0.0,Bad
PJ Cummins,"MA Chidambaram Stadium, Chennai",34,3,11.333333333333334,Poor
PJ Cummins,Maharaja Yadavindra Singh International Cricket St (Mullanpur),3,1,3.0,Bad
PJ Cummins,"Maharashtra Cricket Association Stadium, Pune",56,1,56.0,Excellent
PJ Cummins,"Narendra Modi Stadium, Ahmedabad",32,2,16.0,Poor
PJ Cummins,"Rajiv Gandhi International Stadium, Hyderabad",31,1,31.0,Good
PJ Cummins,"Wankhede Stadium, Mumbai",35,1,35.0,Good
PJ Sangwan,"Dr DY Patil Sports Academy, Mumbai",2,1,2.0,Bad
PK Garg,"Arun Jaitley Stadium, Delhi",12,1,12.0,Poor
PK Garg,"Narendra Modi Stadium, Ahmedabad",10,1,10.0,Poor
PK Garg,"Wankhede Stadium, Mumbai",46,2,23.0,Average
PN Mankad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,0.0,Bad
PN Mankad,"Eden Gardens, Kolkata",26,1,26.0,Average
PN Mankad,"MA Chidambaram Stadium, Chennai",3,1,3.0,Bad
PN Mankad,"Rajiv Gandhi International Stadium, Hyderabad",64,1,64.0,Excellent
PN Mankad,"Wankhede Stadium, Mumbai",4,1,4.0,Bad
PP Chawla,"Arun Jaitley Stadium, Delhi",10,1,10.0,Poor
PP Chawla,"Eden Gardens, Kolkata",1,1,1.0,Bad
PP Chawla,"MA Chidambaram Stadium, Chennai",2,1,2.0,Bad
PP Chawla,"Narendra Modi Stadium, Ahmedabad",18,3,6.0,Bad
PP Chawla,"Sawai Mansingh Stadium, Jaipur",1,1,1.0,Bad
PP Chawla,"Wankhede Stadium, Mumbai",8,3,2.6666666666666665,Bad
PP Shaw,"Arun Jaitley Stadium, Delhi",67,6,11.166666666666666,Poor
PP Shaw,"Barsapara Cricket Stadium, Guwahati",0,1,0.0,Bad
PP Shaw,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,2,22.0,Average
PP Shaw,"Brabourne Stadium, Mumbai",130,3,43.333333333333336,Excellent
PP Shaw,"Dr DY Patil Sports Academy, Mumbai",61,1,61.0,Excellent
PP Shaw,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),10,1,10.0,Poor
PP Shaw,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,43,1,43.0,Excellent
PP Shaw,"Eden Gardens, Kolkata",13,1,13.0,Poor
PP Shaw,Himachal Pradesh Cricket Association Stadium (Dharamsala),54,1,54.0,Excellent
PP Shaw,"M.Chinnaswamy Stadium, Bengaluru",0,1,0.0,Bad
PP Shaw,"Maharashtra Cricket Association Stadium, Pune",10,1,10.0,Poor
PP Shaw,"Narendra Modi Stadium, Ahmedabad",7,1,7.0,Bad
PP Shaw,"Wankhede Stadium, Mumbai",148,6,24.666666666666668,Average
PVD Chameera,"Brabourne Stadium, Mumbai",0,1,0.0,Bad
PVD Chameera,"Dr DY Patil Sports Academy, Mumbai",1,1,1.0,Bad
PVD Chameera,"Eden Gardens, Kolkata",11,1,11.0,Poor
PVD Chameera,"Maharashtra Cricket Association Stadium, Pune",17,2,8.5,Bad
PVD Chameera,"Wankhede Stadium, Mumbai",14,2,7.0,Bad
PWH de Silva,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8,1,8.0,Bad
PWH de Silva,"Brabourne Stadium, Mumbai",9,2,4.5,Bad
PWH de Silva,"Dr DY Patil Sports Academy, Mumbai",11,2,5.5,Bad
PWH de Silva,"M.Chinnaswamy Stadium, Bengaluru",13,3,4.333333333333333,Bad
PWH de Silva,"Maharashtra Cricket Association Stadium, Pune",18,2,9.0,Bad
PWH de Silva,"Narendra Modi Stadium, Ahmedabad",0,1,0.0,Bad
PWH de Silva,"Wankhede Stadium, Mumbai",12,1,12.0,Poor
Q de Kock,"Arun Jaitley Stadium, Delhi",12,1,12.0,Poor
Q de Kock,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",157,6,26.166666666666668,Average
Q de Kock,"Brabourne Stadium, Mumbai",92,3,30.666666666666668,Good
Q de Kock,"Dr DY Patil Sports Academy, Mumbai",224,4,56.0,Excellent
Q de Kock,"Eden Gardens, Kolkata",44,3,14.666666666666666,Poor
Q de Kock,"M.Chinnaswamy Stadium, Bengaluru",81,1,81.0,Excellent
Q de Kock,"MA Chidambaram Stadium, Chennai",0,1,0.0,Bad
Q de Kock,"Maharashtra Cricket Association Stadium, Pune",107,3,35.666666666666664,Good
Q de Kock,"Narendra Modi Stadium, Ahmedabad",70,1,70.0,Excellent
Q de Kock,"Rajiv Gandhi International Stadium, Hyderabad",31,2,15.5,Poor
Q de Kock,"Sawai Mansingh Stadium, Jaipur",4,1,4.0,Bad
Q de Kock,"Wankhede Stadium, Mumbai",79,4,19.75,Poor
R Ashwin,"Arun Jaitley Stadium, Delhi",2,1,2.0,Bad
R Ashwin,"Barsapara Cricket Stadium, Guwahati",28,2,14.0,Poor
R Ashwin,"Brabourne Stadium, Mumbai",52,3,17.333333333333332,Poor
R Ashwin,"Dr DY Patil Sports Academy, Mumbai",80,4,20.0,Average
R Ashwin,"Eden Gardens, Kolkata",10,2,5.0,Bad
R Ashwin,"M.Chinnaswamy Stadium, Bengaluru",12,1,12.0,Poor
R Ashwin,"MA Chidambaram Stadium, Chennai",31,3,10.333333333333334,Poor
R Ashwin,"Maharashtra Cricket Association Stadium, Pune",17,1,17.0,Poor
R Ashwin,"Narendra Modi Stadium, Ahmedabad",16,2,8.0,Bad
R Ashwin,"Rajiv Gandhi International Stadium, Hyderabad",3,2,1.5,Bad
R Ashwin,"Sawai Mansingh Stadium, Jaipur",35,4,8.75,Bad
R Ashwin,"Wankhede Stadium, Mumbai",58,4,14.5,Poor
R Dhawan,"Brabourne Stadium, Mumbai",7,1,7.0,Bad
R Dhawan,"Dr DY Patil Sports Academy, Mumbai",4,1,4.0,Bad
R Dhawan,"Eden Gardens, Kolkata",19,1,19.0,Poor
R Dhawan,"Maharashtra Cricket Association Stadium, Pune",21,1,21.0,Average
R Dhawan,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,1,1.0,Bad
R Dhawan,"Wankhede Stadium, Mumbai",5,1,5.0,Bad
R Parag,"Arun Jaitley Stadium, Delhi",27,1,27.0,Average
R Parag,"Barsapara Cricket Stadium, Guwahati",75,3,25.0,Average
R Parag,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,1,14.0,Poor
R Parag,"Brabourne Stadium, Mumbai",34,3,11.333333333333334,Poor
R Parag,"Dr DY Patil Sports Academy, Mumbai",35,4,8.75,Bad
R Parag,"Eden Gardens, Kolkata",38,2,19.0,Poor
R Parag,Himachal Pradesh Cricket Association Stadium (Dharamsala),20,1,20.0,Average
R Parag,"MA Chidambaram Stadium, Chennai",53,2,26.5,Average
R Parag,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,23,1,23.0,Average
R Parag,"Maharashtra Cricket Association Stadium, Pune",68,2,34.0,Good
R Parag,"Narendra Modi Stadium, Ahmedabad",56,3,18.666666666666668,Poor
R Parag,"Rajiv Gandhi International Stadium, Hyderabad",84,2,42.0,Excellent
R Parag,"Sawai Mansingh Stadium, Jaipur",226,6,37.66666666666666,Good
R Parag,"Wankhede Stadium, Mumbai",81,4,20.25,Average
R Powell,"Arun Jaitley Stadium, Delhi",17,2,8.5,Bad
R Powell,"Barsapara Cricket Stadium, Guwahati",6,2,3.0,Bad
R Powell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1,1.0,Bad
R Powell,"Brabourne Stadium, Mumbai",75,3,25.0,Average
R Powell,"Dr DY Patil Sports Academy, Mumbai",8,3,2.6666666666666665,Bad
R Powell,"Eden Gardens, Kolkata",26,1,26.0,Average
R Powell,"MA Chidambaram Stadium, Chennai",6,1,6.0,Bad
R Powell,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,11,1,11.0,Poor
R Powell,"Maharashtra Cricket Association Stadium, Pune",20,1,20.0,Average
R Powell,"Narendra Modi Stadium, Ahmedabad",16,1,16.0,Poor
R Powell,"Rajiv Gandhi International Stadium, Hyderabad",27,1,27.0,Average
R Powell,"Wankhede Stadium, Mumbai",147,5,29.4,Average
R Ravindra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,0.0,Bad
R Ravindra,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,2,1,2.0,Bad
R Ravindra,"M.Chinnaswamy Stadium, Bengaluru",61,1,61.0,Excellent
R Ravindra,"MA Chidambaram Stadium, Chennai",125,4,31.25,Good
R Ravindra,"Narendra Modi Stadium, Ahmedabad",1,1,1.0,Bad
R Ravindra,"Rajiv Gandhi International Stadium, Hyderabad",12,1,12.0,Poor
R Ravindra,"Wankhede Stadium, Mumbai",21,1,21.0,Average
R Sai Kishore,"Arun Jaitley Stadium, Delhi",13,1,13.0,Poor
R Sanjay Yadav,"Wankhede Stadium, Mumbai",0,1,0.0,Bad
R Shepherd,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,0.0,Bad
R Shepherd,"Dr DY Patil Sports Academy, Mumbai",8,1,8.0,Bad
R Shepherd,Maharaja Yadavindra Singh International Cricket St (Mullanpur),1,1,1.0,Bad
R Shepherd,"Maharashtra Cricket Association Stadium, Pune",24,1,24.0,Average
R Shepherd,"Rajiv Gandhi International Stadium, Hyderabad",15,1,15.0,Poor
R Shepherd,"Wankhede Stadium, Mumbai",67,4,16.75,Poor
R Tewatia,"Arun Jaitley Stadium, Delhi",4,1,4.0,Bad
R Tewatia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",32,2,16.0,Poor
R Tewatia,"Brabourne Stadium, Mumbai",59,3,19.666666666666668,Poor
R Tewatia,"Dr DY Patil Sports Academy, Mumbai",34,3,11.333333333333334,Poor
R Tewatia,"M.Chinnaswamy Stadium, Bengaluru",39,2,19.5,Poor
R Tewatia,"MA Chidambaram Stadium, Chennai",9,2,4.5,Bad
R Tewatia,Maharaja Yadavindra Singh International Cricket St (Mullanpur),36,1,36.0,Good
R Tewatia,"Maharashtra Cricket Association Stadium, Pune",42,3,14.0,Poor
R Tewatia,"Narendra Modi Stadium, Ahmedabad",114,8,14.25,Poor
R Tewatia,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,1,5.0,Bad
R Tewatia,"Sawai Mansingh Stadium, Jaipur",22,1,22.0,Average
R Tewatia,"Wankhede Stadium, Mumbai",96,4,24.0,Average
RA Bawa,"Dr DY Patil Sports Academy, Mumbai",0,1,0.0,Bad
RA Bawa,"Wankhede Stadium, Mumbai",11,1,11.0,Poor
RA Jadeja,"Arun Jaitley Stadium, Delhi",20,1,20.0,Average
RA Jadeja,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",57,1,57.0,Excellent
RA Jadeja,"Brabourne Stadium, Mumbai",17,2,8.5,Bad
RA Jadeja,"Dr DY Patil Sports Academy, Mumbai",26,3,8.666666666666666,Bad
RA Jadeja,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,21,1,21.0,Average
RA Jadeja,"Eden Gardens, Kolkata",18,1,18.0,Poor
RA Jadeja,Himachal Pradesh Cricket Association Stadium (Dharamsala),43,1,43.0,Excellent
RA Jadeja,"M.Chinnaswamy Stadium, Bengaluru",52,2,26.0,Average
RA Jadeja,"MA Chidambaram Stadium, Chennai",158,11,14.363636363636363,Poor
RA Jadeja,"Maharashtra Cricket Association Stadium, Pune",26,3,8.666666666666666,Bad
RA Jadeja,"Narendra Modi Stadium, Ahmedabad",34,3,11.333333333333334,Poor
RA Jadeja,"Rajiv Gandhi International Stadium, Hyderabad",31,1,31.0,Good
RA Jadeja,"Sawai Mansingh Stadium, Jaipur",23,1,23.0,Average
RA Jadeja,"Wankhede Stadium, Mumbai",47,2,23.5,Average
RA Tripathi,"Arun Jaitley Stadium, Delhi",10,1,10.0,Poor
RA Tripathi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",34,1,34.0,Good
RA Tripathi,"Brabourne Stadium, Mumbai",100,3,33.333333333333336,Good
RA Tripathi,"Dr DY Patil Sports Academy, Mumbai",134,4,33.5,Good
RA Tripathi,"Eden Gardens, Kolkata",29,2,14.5,Poor
RA Tripathi,"MA Chidambaram Stadium, Chennai",67,3,22.33333333333333,Average
RA Tripathi,Maharaja Yadavindra Singh International Cricket St (Mullanpur),11,1,11.0,Poor
RA Tripathi,"Maharashtra Cricket Association Stadium, Pune",9,3,3.0,Bad
RA Tripathi,"Narendra Modi Stadium, Ahmedabad",56,2,28.0,Average
RA Tripathi,"Rajiv Gandhi International Stadium, Hyderabad",184,8,23.0,Average
RA Tripathi,"Sawai Mansingh Stadium, Jaipur",47,1,47.0,Excellent
RA Tripathi,"Wankhede Stadium, Mumbai",170,4,42.5,Excellent
RD Chahar,"Brabourne Stadium, Mumbai",48,4,12.0,Poor
RD Chahar,"Dr DY Patil Sports Academy, Mumbai",25,2,12.5,Poor
RD Chahar,Himachal Pradesh Cricket Association Stadium (Dharamsala),21,2,10.5,Poor
RD Chahar,"Maharashtra Cricket Association Stadium, Pune",4,1,4.0,Bad
RD Chahar,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,1,0.0,Bad
RD Chahar,"Rajiv Gandhi International Stadium, Hyderabad",0,1,0.0,Bad
RD Chahar,"Wankhede Stadium, Mumbai",0,1,0.0,Bad
RD Gaikwad,"Arun Jaitley Stadium, Delhi",79,1,79.0,Excellent
RD Gaikwad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",17,1,17.0,Poor
RD Gaikwad,"Brabourne Stadium, Mumbai",4,3,1.3333333333333333,Bad
RD Gaikwad,"Dr DY Patil Sports Academy, Mumbai",74,4,18.5,Poor
RD Gaikwad,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,1,1,1.0,Bad
RD Gaikwad,"Eden Gardens, Kolkata",35,1,35.0,Good
RD Gaikwad,Himachal Pradesh Cricket Association Stadium (Dharamsala),32,1,32.0,Good
RD Gaikwad,"M.Chinnaswamy Stadium, Bengaluru",3,2,1.5,Bad
RD Gaikwad,"MA Chidambaram Stadium, Chennai",706,15,47.06666666666667,Excellent
RD Gaikwad,"Maharashtra Cricket Association Stadium, Pune",200,3,66.66666666666667,Excellent
RD Gaikwad,"Narendra Modi Stadium, Ahmedabad",118,3,39.333333333333336,Good
RD Gaikwad,"Rajiv Gandhi International Stadium, Hyderabad",26,1,26.0,Average
RD Gaikwad,"Sawai Mansingh Stadium, Jaipur",47,1,47.0,Excellent
RD Gaikwad,"Wankhede Stadium, Mumbai",199,6,33.166666666666664,Good
RG Sharma,"Arun Jaitley Stadium, Delhi",73,2,36.5,Good
RG Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",41,2,20.5,Average
RG Sharma,"Brabourne Stadium, Mumbai",90,3,30.0,Good
RG Sharma,"Dr DY Patil Sports Academy, Mumbai",14,4,3.5,Bad
RG Sharma,"Eden Gardens, Kolkata",19,1,19.0,Poor
RG Sharma,"M.Chinnaswamy Stadium, Bengaluru",1,1,1.0,Bad
RG Sharma,"MA Chidambaram Stadium, Chennai",11,2,5.5,Bad
RG Sharma,Maharaja Yadavindra Singh International Cricket St (Mullanpur),36,1,36.0,Good
RG Sharma,"Maharashtra Cricket Association Stadium, Pune",57,3,19.0,Poor
RG Sharma,"Narendra Modi Stadium, Ahmedabad",53,3,17.666666666666668,Poor
RG Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,1,0.0,Bad
RG Sharma,"Rajiv Gandhi International Stadium, Hyderabad",54,2,27.0,Average
RG Sharma,"Sawai Mansingh Stadium, Jaipur",6,1,6.0,Bad
RG Sharma,"Wankhede Stadium, Mumbai",562,18,31.22222222222222,Good
RJ Gleeson,Himachal Pradesh Cricket Association Stadium (Dharamsala),2,1,2.0,Bad
RJW Topley,"M.Chinnaswamy Stadium, Bengaluru",3,1,3.0,Bad
RK Bhui,Maharaja Yadavindra Singh International Cricket St (Mullanpur),3,1,3.0,Bad
RK Bhui,"Sawai Mansingh Stadium, Jaipur",0,1,0.0,Bad
RK Singh,"Arun Jaitley Stadium, Delhi",6,1,6.0,Bad
RK Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,1,16.0,Poor
RK Singh,"Dr DY Patil Sports Academy, Mumbai",98,3,32.666666666666664,Good
RK Singh,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),26,1,26.0,Average
RK Singh,"Eden Gardens, Kolkata",383,13,29.46153846153846,Average
RK Singh,"M.Chinnaswamy Stadium, Bengaluru",23,2,11.5,Poor
RK Singh,"MA Chidambaram Stadium, Chennai",63,2,31.5,Good
RK Singh,"Maharashtra Cricket Association Stadium, Pune",11,2,5.5,Bad
RK Singh,"Narendra Modi Stadium, Ahmedabad",48,1,48.0,Excellent
RK Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,1,4.0,Bad
RK Singh,"Rajiv Gandhi International Stadium, Hyderabad",46,1,46.0,Excellent
RK Singh,"Wankhede Stadium, Mumbai",92,4,23.0,Average
RM Patidar,"Brabourne Stadium, Mumbai",78,2,39.0,Good
RM Patidar,"Eden Gardens, Kolkata",164,2,82.0,Excellent
RM Patidar,Himachal Pradesh Cricket Association Stadium (Dharamsala),55,1,55.0,Excellent
RM Patidar,"M.Chinnaswamy Stadium, Bengaluru",154,7,22.0,Average
RM Patidar,"MA Chidambaram Stadium, Chennai",0,1,0.0,Bad
RM Patidar,"Maharashtra Cricket Association Stadium, Pune",37,2,18.5,Poor
RM Patidar,"Narendra Modi Stadium, Ahmedabad",92,2,46.0,Excellent
RM Patidar,"Rajiv Gandhi International Stadium, Hyderabad",50,1,50.0,Excellent
RM Patidar,"Wankhede Stadium, Mumbai",98,2,49.0,Excellent
RP Meredith,"Dr DY Patil Sports Academy, Mumbai",0,1,0.0,Bad
RP Meredith,"Narendra Modi Stadium, Ahmedabad",0,1,0.0,Bad
RR Pant,"Arun Jaitley Stadium, Delhi",209,5,41.8,Excellent
RR Pant,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",41,1,41.0,Excellent
RR Pant,"Brabourne Stadium, Mumbai",54,3,18.0,Poor
RR Pant,"Dr DY Patil Sports Academy, Mumbai",80,4,20.0,Average
RR Pant,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),55,1,55.0,Excellent
RR Pant,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,51,1,51.0,Excellent
RR Pant,"Eden Gardens, Kolkata",27,1,27.0,Average
RR Pant,Maharaja Yadavindra Singh International Cricket St (Mullanpur),18,1,18.0,Poor
RR Pant,"Maharashtra Cricket Association Stadium, Pune",43,1,43.0,Excellent
RR Pant,"Narendra Modi Stadium, Ahmedabad",16,1,16.0,Poor
RR Pant,"Sawai Mansingh Stadium, Jaipur",28,1,28.0,Average
RR Pant,"Wankhede Stadium, Mumbai",164,6,27.33333333333333,Average
RR Rossouw,"Arun Jaitley Stadium, Delhi",40,4,10.0,Poor
RR Rossouw,"Barsapara Cricket Stadium, Guwahati",36,2,18.0,Poor
RR Rossouw,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",30,1,30.0,Good
RR Rossouw,"Eden Gardens, Kolkata",26,1,26.0,Average
RR Rossouw,Himachal Pradesh Cricket Association Stadium (Dharamsala),143,3,47.66666666666666,Excellent
RR Rossouw,"MA Chidambaram Stadium, Chennai",78,2,39.0,Good
RR Rossouw,Maharaja Yadavindra Singh International Cricket St (Mullanpur),10,2,5.0,Bad
RR Rossouw,"Narendra Modi Stadium, Ahmedabad",8,1,8.0,Bad
RR Rossouw,"Rajiv Gandhi International Stadium, Hyderabad",49,1,49.0,Excellent
RV Patel,"Arun Jaitley Stadium, Delhi",11,1,11.0,Poor
RV Patel,"Dr DY Patil Sports Academy, Mumbai",6,1,6.0,Bad
RV Patel,"MA Chidambaram Stadium, Chennai",10,1,10.0,Poor
RV Patel,"Narendra Modi Stadium, Ahmedabad",23,1,23.0,Average
RV Patel,"Rajiv Gandhi International Stadium, Hyderabad",5,1,5.0,Bad
RV Uthappa,"Brabourne Stadium, Mumbai",63,2,31.5,Good
RV Uthappa,"Dr DY Patil Sports Academy, Mumbai",133,4,33.25,Good
RV Uthappa,"Maharashtra Cricket Association Stadium, Pune",4,2,2.0,Bad
RV Uthappa,"Wankhede Stadium, Mumbai",30,3,10.0,Poor
Rahmanullah Gurbaz,"Eden Gardens, Kolkata",181,6,30.166666666666668,Good
Rahmanullah Gurbaz,"MA Chidambaram Stadium, Chennai",40,2,20.0,Average
Rahmanullah Gurbaz,"Narendra Modi Stadium, Ahmedabad",38,2,19.0,Poor
Rahmanullah Gurbaz,"Punjab Cricket Association IS Bindra Stadium, Mohali",22,1,22.0,Average
Rahmanullah Gurbaz,"Rajiv Gandhi International Stadium, Hyderabad",0,1,0.0,Bad
Rahmanullah Gurbaz,"Wankhede Stadium, Mumbai",8,1,8.0,Bad
Ramandeep Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",25,1,25.0,Average
Ramandeep Singh,"Dr DY Patil Sports Academy, Mumbai",12,1,12.0,Poor
Ramandeep Singh,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),2,1,2.0,Bad
Ramandeep Singh,"Eden Gardens, Kolkata",83,5,16.6,Poor
Ramandeep Singh,"MA Chidambaram Stadium, Chennai",13,1,13.0,Poor
Ramandeep Singh,"Maharashtra Cricket Association Stadium, Pune",6,1,6.0,Bad
Ramandeep Singh,"Wankhede Stadium, Mumbai",29,3,9.666666666666666,Bad
Rashid Khan,"Arun Jaitley Stadium, Delhi",21,1,21.0,Average
Rashid Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,0.0,Bad
Rashid Khan,"Brabourne Stadium, Mumbai",1,1,1.0,Bad
Rashid Khan,"Dr DY Patil Sports Academy, Mumbai",0,3,0.0,Bad
Rashid Khan,"M.Chinnaswamy Stadium, Bengaluru",18,1,18.0,Poor
Rashid Khan,"MA Chidambaram Stadium, Chennai",31,2,15.5,Poor
Rashid Khan,Maharaja Yadavindra Singh International Cricket St (Mullanpur),3,1,3.0,Bad
Rashid Khan,"Maharashtra Cricket Association Stadium, Pune",40,2,20.0,Average
Rashid Khan,"Narendra Modi Stadium, Ahmedabad",56,9,6.222222222222222,Bad
Rashid Khan,"Sawai Mansingh Stadium, Jaipur",24,1,24.0,Average
Rashid Khan,"Wankhede Stadium, Mumbai",129,3,43.0,Excellent
Rasikh Salam,"Arun Jaitley Stadium, Delhi",9,1,9.0,Bad
Rasikh Salam,"Brabourne Stadium, Mumbai",7,1,7.0,Bad
Rasikh Salam,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),1,1,1.0,Bad
