Player,Runs,Balls_Faced,Fours,Sixes,Not_Outs,Dismissals,Batting_Average,Strike_Rate,Wickets,Overs_Bowled,Runs_Conceded,Economy,Bowling_Strike_Rate,Bowling_Average,Catches,Stumpings,Run_Outs,Matches_Played
TS Mills,0.0,3.0,0.0,0.0,False,1.0,0.0,NA,6.0,12.0,192.0,16.0,12.0,32.0,NA,NA,NA,7
TU Deshpande,0.0,3.0,0.0,0.0,True,0.0,0.0,NA,43.0,16.0,1082.0,67.62,2.23,25.16,5.0,0.0,0.0,33
Tanush Kotian,24.0,32.0,3.0,0.0,False,1.0,24.0,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,2
Tilak Varma,1156.0,830.0,90.0,58.0,False,28.0,41.29,139.28,0.0,4.0,28.0,7.0,NA,NA,23.0,0.0,1.0,57
UT Yadav,86.0,76.0,5.0,5.0,False,7.0,12.29,113.16,26.0,16.0,755.0,47.19,3.69,29.04,7.0,0.0,0.0,36
Umran Malik,23.0,16.0,1.0,2.0,False,1.0,23.0,NA,31.0,16.0,785.0,49.06,3.1,25.32,4.0,0.0,1.0,30
V Kohli,2126.0,1623.0,202.0,71.0,False,55.0,38.65,130.99,NA,NA,NA,NA,NA,NA,38.0,0.0,3.0,83
V Shankar,461.0,362.0,36.0,20.0,False,22.0,20.95,127.35,5.0,9.0,115.0,12.78,10.8,23.0,11.0,0.0,2.0,36
V Viyaskanth,7.0,5.0,0.0,0.0,True,0.0,7.0,NA,1.0,6.0,90.0,15.0,36.0,90.0,2.0,0.0,0.0,3
VG Arora,9.0,17.0,0.0,0.0,False,2.0,4.5,NA,20.0,14.0,598.0,42.71,4.2,29.9,5.0,0.0,0.0,27
VR Iyer,1326.0,1000.0,121.0,61.0,False,43.0,30.84,132.6,3.0,10.0,145.0,14.5,20.0,48.33,18.0,0.0,2.0,68
Vijaykumar Vyshak,14.0,13.0,0.0,1.0,False,2.0,7.0,NA,17.0,13.0,396.0,30.46,4.59,23.29,4.0,0.0,0.0,13
Virat Singh,15.0,26.0,1.0,0.0,False,3.0,5.0,NA,NA,NA,NA,NA,NA,NA,2.0,0.0,0.0,2
Vishnu Vinod,37.0,32.0,2.0,2.0,False,3.0,12.33,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,4
Vivrant Sharma,69.0,49.0,9.0,2.0,False,1.0,69.0,NA,0.0,3.0,37.0,12.33,NA,NA,NA,NA,NA,3
WD Parnell,2.0,6.0,0.0,0.0,False,1.0,2.0,NA,9.0,10.0,237.0,23.7,6.67,26.33,4.0,0.0,0.0,7
WG Jacks,230.0,133.0,16.0,18.0,False,6.0,38.33,172.93,2.0,6.0,100.0,16.67,18.0,50.0,3.0,0.0,0.0,13
WP Saha,955.0,827.0,112.0,23.0,False,43.0,22.21,115.48,NA,NA,NA,NA,NA,NA,31.0,6.0,10.0,62
Washington Sundar,192.0,187.0,17.0,3.0,False,15.0,12.8,102.67,13.0,19.0,577.0,30.37,8.77,44.38,4.0,0.0,0.0,32
YBK Jaiswal,1567.0,1051.0,197.0,62.0,False,46.0,34.07,149.1,0.0,1.0,6.0,6.0,NA,NA,17.0,0.0,2.0,57
YS Chahal,15.0,35.0,0.0,0.0,False,1.0,15.0,NA,89.0,17.0,1899.0,111.71,1.15,21.34,9.0,0.0,0.0,63
YV Dhull,16.0,23.0,1.0,0.0,False,3.0,5.33,NA,NA,NA,NA,NA,NA,NA,2.0,0.0,1.0,5
Yash Dayal,0.0,1.0,0.0,0.0,False,1.0,0.0,NA,31.0,19.0,933.0,49.11,3.68,30.1,5.0,0.0,1.0,29
Yudhvir Singh,22.0,16.0,1.0,2.0,False,4.0,5.5,NA,4.0,9.0,125.0,13.89,13.5,31.25,NA,NA,NA,6
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,3.0,10.0,113.0,11.3,20.0,37.67,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,5.0,9.0,227.0,25.22,10.8,45.4,NA,NA,NA,0
